comment,isPositive
kemarin samsung and jamlupa merkred flash sale geser puzzle tetep dapat bytheway dapat referensi browsing and youtube geser puzzle barang flash sale itutapi referensi benar,0
main tan panen voucher tanam voucher minyak goreng voucher cashback pulsa penyelesaian sesuai permasalahan selesai main tan dibohongi kecewa,0
prodak beli oleh shop shoppy produk bekas kwalitas rendah selektif mencari mitra aneh shoppy menindaklanjuti laporan beli prodak shoppy karena penipu,0
tolong pesanan ttrfcnc proses penjual tipu kayak masak tanggal proses barang penjual tolong tipu tolong buang anda rugi modus nomor wa mencoba tipu,0
kenapa update dari googleplay pas bayar listrik disuruh klik tulisan update ditunggu berapa menit kelar aneh update melulu minggu close pas lihat hp pdhal samsung ram gb lhoo lumayan olshop saja bner dari,0
event kayak pengirimannya dampak selanjutnyasaya beli paket seminggu paketnyamohon dipercepat lagisoalnya kasian costumer jugasatu status pengiriman dimohon diupdate harinyajadi costumer dimana paketnya,0
pembayaran spaylaterpas tanyatidak membisa alasannyamalah suruh ganti metode pembayaran tunggakankasih bintang duluklo spaylaterbaru kasih bintang,0
nomor tertera ganti nomor tlpnya dari nomor nggk whatsapp nyakenapa jadi berubah nomor wa jadi pas bayar bca otomatis bisakode pembayaran beda bca nomor wanya,0
kesekian kalinya mendaftar spaylater gagal pengguna beli kebutuhan sampai terdaftar mitra puluhan transaksi mengajukan spaylater gagal payah,0
hp lambat memang sistem tolong recomend belanja lambat tolong perbaiki min terimakasih,0
buka cuma blackscreenwhitescreen terus stuck loading update versi terbaru coba clear cache data restart jaringan restart hp jaringan lancar wifi berjalan sebel,0
benerbener ngecewain pesan makanan terus diaplikasi pesanan terima makanannya nelpon call center nyelesainkan sulit live chat benar benar emosi gunanya call center live chat,0
klik samoe kesel pas pilih menu tampilan food bug sii sinyal sampai pindah wifi tampilannya ngebank pencet memuat ulang lancar jaya oas masuk bug begitu aneh,0
proses checkout kena biaya penanganan bayar tagihan juga kena biaya penangananmalah gilaaaaa updte desember lambat super lambat,0
aneh free ongkoskirim pas bayar kok beda tagihanya free ongkoskirim dianggap anak bocah arti kalimat begitu aplikasinya loading mululelet,0
shopeepay laternya serasa menipuwaktu pembayaran pajak bayar biaya tambahan Cuma sebulankapok shopeelater lagimahal bangetudah begitu pemberitahuan awaluntung rincian biaya nyacoba kecolongan terushuhuhu,0
ecommerce manfaatnya bangsa sebel iklan jorjoran mengganggu kehidupan iklan youtobe skip iklan televisi berpaling mengganggu terngiangngiang canda,0
akun niat belanja gabisaaaa produk check out alasannya voucher sesuai voucher dipakai snk sesuai begini,0
apl penyebab virus makan memory ram hp lelettidak diandalkan jual apl tolong kasih terbaik suruh download apl kecewa habisin kuota internet,0
maaf kasih bintang karena menurutku kurir milih tunggu rumah eh tunggu gang langsung rumah begitu beda tokopedia kurir suruh keh begitu oh pesan ku tolong ganti kurir oh pas buka ngbug males menunggu soudara menunggu belikan eh ngbug meles begitu,0
kali dikecewakan belanja transaksi dikenal bingung sistem keamanan data pengguna sampai oknum make shopeepay penggunanya kecewa telpon call center pilihan sambungkan adminnya langsung semoga sistem keamanannya cepat diperbaiki,0
menyenangkan update berat data dikuras boss pembuat aplikasinya bertanggung,0
kesini jelek cancel kali kali cancel ingin cancel gara barang kemahalan ongkoskirim mahal,0
males kecewa belanja pengiriman super lambat Cuma jakarta tangerang kaya beli barang negeri pelayanan cs super buruk belum selesai pembicaraan kabur duluan perusahaan pekerjakan cs ajar minus bintang lebihbaik bintang kebagusan bintang kurir spx area tangerang tigaraksa tolong ajari sopan santun buruk sopan santun,0
gajelas pembayaran via shopeepay loading sampai tidakbisa kebuka halaman pembayarannya matiin hp nyalakan buka barusan memencet profil mengclaim coin tidakbisa pencet diem beranda gamuncul tolong update apknya tetap,0
pengiriman lambat proses dikemas kejelasan barang dikirim diajukan pembatalan penjual dibatalkan stock barang buah dimana permasalahannya menunggu barang dikirim minggu uang dikembalikanbikin kecewa pembeliberharap kedepannya ketentuan barang lebih dikemas dibatalkan otomatis shoopee pelajaran penjual pembeli kecewaterima kasih,0
senang eh pas pesan barang katalognya tertulis garansi ori pesan lcdtouchscreen nomor pesanan rv dikirim sampah mau pengajuan katay garansi hub cs penjual penyelesaian deskripsi tertulis garansi Cuma rusak uang rb bukan memang barangy bisa returtukar kasi garansi garansi uang nyatay pengajuan susah kemasan paket apalah,0
parah saja belanja dishoppe barang kunjung kirim dikasih sangsi toko sibuk mengurus note kurir cirebon utara diganti jarak kilo jam kelokasi kecewa,0
aya akun toko beli eh besok akun blokir kena pelanggaran transaksi belanja pas beli proses kecewa download kecewain,0
jelek log in hp scan wajah keamanan mengenali wajah wooyy beda muka tuaaa numbuh jenggot kumis penampilan beda,0
kak pas alamat muncul nomor sah kesini rawr sah iya memang tidakpunyapacar suami begitu,0
dana spinjam belum transfer dicairkan cs melempar kejelasan hati dana spinjam pengajuan spinjam limit berkurang nomor rekening verifikasi dana belum transfer dicairkan buruk haruskan bayar dana pinjam belum transfer gila,0
berat kurirnya bertanggung mengantarkan pesanan ketempat alasan malas bug memesan food mohon ringankan whitescreen,0
